Experiment,Optimizer,Learning Rate,Architecture,Activation,Dropout,Batch Size,Epochs,Validation Accuracy,Test Accuracy,Precision,Recall,F1 Score,Test Loss
Activation tanh,adam,0.001,"(64, 32, 16)",tanh,0.2,32,43,0.8668749928474426,0.8675000071525574,0.8605441358982315,0.8675,0.8539188656055111,0.3342289626598358
"Architecture (32, 16, 8)",adam,0.001,"(32, 16, 8)",relu,0.0,32,23,0.8606250286102295,0.8634999990463257,0.8557835091663784,0.8635,0.8488260749919738,0.34813034534454346
Batch Size 128,adam,0.001,"(64, 32, 16)",relu,0.0,128,24,0.8600000143051147,0.8610000014305115,0.8530256189604966,0.861,0.8452262094391971,0.3434327244758606
"Architecture (128, 64, 32)",adam,0.001,"(128, 64, 32)",relu,0.0,32,13,0.859375,0.8585000038146973,0.8483334160524951,0.8585,0.8462453264370261,0.345246285200119
Baseline,adam,0.001,"(64, 32, 16)",relu,0.0,32,16,0.8581249713897705,0.8650000095367432,0.8573778127425287,0.865,0.8510511137629275,0.3410814106464386
Dropout 0.0,adam,0.001,"(64, 32, 16)",relu,0.0,32,18,0.8568750023841858,0.8644999861717224,0.8566621936084393,0.8645,0.8506113682229945,0.34441879391670227
Optimizer adam,adam,0.001,"(64, 32, 16)",relu,0.0,32,17,0.8568750023841858,0.8640000224113464,0.855719735514133,0.864,0.8506155581268245,0.3411097824573517
Batch Size 32,adam,0.001,"(64, 32, 16)",relu,0.0,32,14,0.8556249737739563,0.859000027179718,0.8495945381075158,0.859,0.8444311632635021,0.34398171305656433
Learning Rate 0.01,adam,0.01,"(64, 32, 16)",relu,0.0,32,12,0.8550000190734863,0.8619999885559082,0.8566268183020366,0.862,0.8438586626139818,0.3492681384086609
Activation relu,adam,0.001,"(64, 32, 16)",relu,0.2,32,29,0.8550000190734863,0.8690000176429749,0.861732933476021,0.869,0.8567367265469062,0.33691152930259705
Dropout 0.5,adam,0.001,"(64, 32, 16)",relu,0.5,32,50,0.8550000190734863,0.8634999990463257,0.8586077547220007,0.8635,0.84568302806817,0.3366777300834656
Dropout 0.2,adam,0.001,"(64, 32, 16)",relu,0.2,32,30,0.8550000190734863,0.8694999814033508,0.8629726044661862,0.8695,0.8563382411422077,0.3347198963165283
Batch Size 16,adam,0.001,"(64, 32, 16)",relu,0.0,16,12,0.8550000190734863,0.8519999980926514,0.8406760447914143,0.852,0.841262891809909,0.3471800684928894
Dropout 0.3,adam,0.001,"(64, 32, 16)",relu,0.3,32,29,0.8543750047683716,0.8604999780654907,0.8526116894972614,0.8605,0.844305241703346,0.33731773495674133
Learning Rate 0.0001,adam,0.0001,"(64, 32, 16)",relu,0.0,32,50,0.8537499904632568,0.8665000200271606,0.858442409690367,0.8665,0.8543179638144648,0.3396889269351959
Learning Rate 0.001,adam,0.001,"(64, 32, 16)",relu,0.0,32,15,0.8531249761581421,0.8615000247955322,0.8520801724137931,0.8615,0.8492922364200438,0.34246960282325745
Batch Size 64,adam,0.001,"(64, 32, 16)",relu,0.0,64,25,0.8531249761581421,0.8634999990463257,0.8547616080850718,0.8635,0.8508297034224873,0.3398961126804352
"Architecture (128, 64, 32, 16)",adam,0.001,"(128, 64, 32, 16)",relu,0.0,32,14,0.8525000214576721,0.862500011920929,0.8532734278235051,0.8625,0.8505917483045307,0.3459697663784027
Optimizer rmsprop,rmsprop,0.001,"(64, 32, 16)",relu,0.0,32,15,0.8512499928474426,0.862500011920929,0.8531992286078518,0.8625,0.8510098719513585,0.34792476892471313
"Architecture (64, 32, 16)",adam,0.001,"(64, 32, 16)",relu,0.0,32,15,0.8512499928474426,0.8650000095367432,0.8569979861013278,0.865,0.8517139731405979,0.3489644229412079
Optimizer sgd,sgd,0.001,"(64, 32, 16)",relu,0.0,32,50,0.7962499856948853,0.796500027179718,0.63441225,0.7965,0.706275814082939,0.44168898463249207
